Nth,Word,Subject Area,Unique Identifier
1,1885 FA Cup Final,,-5507749843517473472
2,Blackburn Rovers F.C.,,5195878448561145841
3,Blackburn,,528277826061890759
4,Lancashire,,-8830418886100864164
5,Metropolitan and non-metropolitan counties of England,,4006931139029823240
6,Subdivisions of England,,-6773139299766207055
7,Administrative division,,-1233102718086916152
8,Country,,-4714479559383765047
9,Political geography,,-6491172518388408936
10,Human geography,,-1113712412312015698
11,Geography,,-5843191956471717889
12,Earth,,9107281603853286393
13,Planet,,11753042235015888
14,Astronomical object,,-1899379884037624060
15,Entity,,3560120390393139311
16,Abstraction,,3817859024266749347
17,First principle,,-7760368032647124475
18,Axiom,,-6361599741985276387
19,Self-evidence,,-8977066399249063487
20,Epistemology,,5285203681127569025
21,Philosophy,,-4426096117890198997
22,Reality,,6838181675192320399
23,Existence,,-3377596666978782727
24,World,,-4569653633827386823
25,Human,,2914993515490738934
26,Hominini,,-3609484609459671747
27,Tribe (biology),,-6431122079361772723
28,Biology,,8857403695854175394
29,Natural science,,4869065709104364642
30,Science,,-4672303739913961655
31,Knowledge,,3603478596780230405
32,Fact,,-4328447044060676770
33,Proof (truth),,2135449381291655739
34,Necessity and sufficiency,,1730111156656812741
35,Logic,,-2616319139024698409
36,Reason,,3629452740040957490
37,Consciousness,,-1750234886732630810
38,Quality (philosophy),,-6874616529156327437
39,Property (philosophy),,-1235965008286240182
40,Modern philosophy,,-1281486413904626369
41,Philosophy,,-4426096117890198997
,,,
21,Philosophy,,-4426096117890198997
