Nth,Word,Subject Area,Unique Identifier
1,Adcole,,-9127865220476132318
2,Massachusetts,,-3935663285844887883
3,New England,,-5048536890157413590
4,List of regions of the United States,,-3375977132530260857
5,United States Census Bureau,,-3116172643795719677
6,Federal Statistical System of the United States,,-2772953560106916233
7,Federal government of the United States,,-5604477296868529388
8,Federation,,-3348838827156885083
9,Political union,,-3548190667440960133
10,State (polity),,4762968986837602439
11,Community,,6288577188102838766
12,Level of analysis,,8947544126860737116
13,Unit of observation,,188709381525173880
14,Statistics,,8363989272166152835
15,Data,,5809168768645327676
16,Value (computer science),,-8445984298510564737
17,Computer science,,-4008902978115557867
18,Science,,-4672303739913961655
19,Knowledge,,3603478596780230405
20,Fact,,-4328447044060676770
21,Proof (truth),,2135449381291655739
22,Necessity and sufficiency,,1730111156656812741
23,Logic,,-2616319139024698409
24,Reason,,3629452740040957490
25,Consciousness,,-1750234886732630810
26,Quality (philosophy),,-6874616529156327437
27,Property (philosophy),,-1235965008286240182
28,Modern philosophy,,-1281486413904626369
29,Philosophy,,-4426096117890198997
30,Reality,,6838181675192320399
31,Existence,,-3377596666978782727
32,World,,-4569653633827386823
33,Human,,2914993515490738934
34,Hominini,,-3609484609459671747
35,Tribe (biology),,-6431122079361772723
36,Biology,,8857403695854175394
37,Natural science,,4869065709104364642
38,Science,,-4672303739913961655
,,,
18,Science,,-4672303739913961655
