Nth,Word,Subject Area,Unique Identifier
1,Antonello nel Paese delle Meraviglie,,-3602332846347206310
2,Antonello Venditti,,5168700219050390765
3,Italy,,1682970803633747332
4,Unitary state,,-1185181523935973170
5,State (polity),,4762968986837602439
6,Community,,6288577188102838766
7,Level of analysis,,8947544126860737116
8,Unit of observation,,188709381525173880
9,Statistics,,8363989272166152835
10,Data,,5809168768645327676
11,Value (computer science),,-8445984298510564737
12,Computer science,,-4008902978115557867
13,Science,,-4672303739913961655
14,Knowledge,,3603478596780230405
15,Fact,,-4328447044060676770
16,Proof (truth),,2135449381291655739
17,Necessity and sufficiency,,1730111156656812741
18,Logic,,-2616319139024698409
19,Reason,,3629452740040957490
20,Consciousness,,-1750234886732630810
21,Quality (philosophy),,-6874616529156327437
22,Property (philosophy),,-1235965008286240182
23,Modern philosophy,,-1281486413904626369
24,Philosophy,,-4426096117890198997
25,Reality,,6838181675192320399
26,Existence,,-3377596666978782727
27,World,,-4569653633827386823
28,Human,,2914993515490738934
29,Hominini,,-3609484609459671747
30,Tribe (biology),,-6431122079361772723
31,Biology,,8857403695854175394
32,Natural science,,4869065709104364642
33,Science,,-4672303739913961655
,,,
13,Science,,-4672303739913961655
