Nth,Word,Subject Area,Unique Identifier
1,Coptodon deckerti,,-856747317921076878
2,Critically Endangered,,-3819463311342447672
3,International Union for Conservation of Nature,,-6889206510380076183
4,International organization,,5644939333979442187
5,Organization,,2749670516490683481
6,Social,,6582033438241004119
7,Organism,,2866309761271341660
8,Biology,,8857403695854175394
9,Natural science,,4869065709104364642
10,Science,,-4672303739913961655
11,Knowledge,,3603478596780230405
12,Fact,,-4328447044060676770
13,Proof (truth),,2135449381291655739
14,Necessity and sufficiency,,1730111156656812741
15,Logic,,-2616319139024698409
16,Reason,,3629452740040957490
17,Consciousness,,-1750234886732630810
18,Quality (philosophy),,-6874616529156327437
19,Property (philosophy),,-1235965008286240182
20,Modern philosophy,,-1281486413904626369
21,Philosophy,,-4426096117890198997
22,Reality,,6838181675192320399
23,Existence,,-3377596666978782727
24,World,,-4569653633827386823
25,Human,,2914993515490738934
26,Hominini,,-3609484609459671747
27,Tribe (biology),,-6431122079361772723
28,Biology,,8857403695854175394
,,,
8,Biology,,8857403695854175394
