Nth,Word,Subject Area,Unique Identifier
1,Daniel Polson,,-6559170231543922683
2,Order of Australia,,-5477904566694619989
3,Order (honour),,-6630278735522500870
4,Dynasty,,-911558927451372561
5,Historian,,1851087781591001868
6,Prehistory,,-1144832910203245341
7,Recorded history,,-4557446594721720052
8,History,,7129800143789099871
9,Umbrella term,,3913409444202329279
10,Terminology,,-9020445578853297826
11,Word,,-7487829120334232892
12,Linguistics,,-8743855718243593471
13,Science,,-4672303739913961655
14,Knowledge,,3603478596780230405
15,Fact,,-4328447044060676770
16,Proof (truth),,2135449381291655739
17,Necessity and sufficiency,,1730111156656812741
18,Logic,,-2616319139024698409
19,Reason,,3629452740040957490
20,Consciousness,,-1750234886732630810
21,Quality (philosophy),,-6874616529156327437
22,Property (philosophy),,-1235965008286240182
23,Modern philosophy,,-1281486413904626369
24,Philosophy,,-4426096117890198997
25,Reality,,6838181675192320399
26,Existence,,-3377596666978782727
27,World,,-4569653633827386823
28,Human,,2914993515490738934
29,Hominini,,-3609484609459671747
30,Tribe (biology),,-6431122079361772723
31,Biology,,8857403695854175394
32,Natural science,,4869065709104364642
33,Science,,-4672303739913961655
,,,
13,Science,,-4672303739913961655
