Nth,Word,Subject Area,Unique Identifier
1,Diffusion Pharmaceuticals,,6981597883084680474
2,"Charlottesville, Virginia",,-8616476395793504263
3,Independent city (United States),,6315546367571461661
4,United States,,-5387773725533596976
5,Federal republic,,-3895061081829891699
6,Federation,,-3348838827156885083
7,Political union,,-3548190667440960133
8,State (polity),,4762968986837602439
9,Community,,6288577188102838766
10,Level of analysis,,8947544126860737116
11,Unit of observation,,188709381525173880
12,Statistics,,8363989272166152835
13,Data,,5809168768645327676
14,Value (computer science),,-8445984298510564737
15,Computer science,,-4008902978115557867
16,Science,,-4672303739913961655
17,Knowledge,,3603478596780230405
18,Fact,,-4328447044060676770
19,Proof (truth),,2135449381291655739
20,Necessity and sufficiency,,1730111156656812741
21,Logic,,-2616319139024698409
22,Reason,,3629452740040957490
23,Consciousness,,-1750234886732630810
24,Quality (philosophy),,-6874616529156327437
25,Property (philosophy),,-1235965008286240182
26,Modern philosophy,,-1281486413904626369
27,Philosophy,,-4426096117890198997
28,Reality,,6838181675192320399
29,Existence,,-3377596666978782727
30,World,,-4569653633827386823
31,Human,,2914993515490738934
32,Hominini,,-3609484609459671747
33,Tribe (biology),,-6431122079361772723
34,Biology,,8857403695854175394
35,Natural science,,4869065709104364642
36,Science,,-4672303739913961655
,,,
16,Science,,-4672303739913961655
