Nth,Word,Subject Area,Unique Identifier
1,Discourse topic,,8255814708005800341
2,Topic–comment,,-4173035475002611802
3,Linguistics,,-8743855718243593471
4,Science,,-4672303739913961655
5,Knowledge,,3603478596780230405
6,Fact,,-4328447044060676770
7,Proof (truth),,2135449381291655739
8,Necessity and sufficiency,,1730111156656812741
9,Logic,,-2616319139024698409
10,Reason,,3629452740040957490
11,Consciousness,,-1750234886732630810
12,Quality (philosophy),,-6874616529156327437
13,Property (philosophy),,-1235965008286240182
14,Modern philosophy,,-1281486413904626369
15,Philosophy,,-4426096117890198997
16,Reality,,6838181675192320399
17,Existence,,-3377596666978782727
18,World,,-4569653633827386823
19,Human,,2914993515490738934
20,Hominini,,-3609484609459671747
21,Tribe (biology),,-6431122079361772723
22,Biology,,8857403695854175394
23,Natural science,,4869065709104364642
24,Science,,-4672303739913961655
,,,
4,Science,,-4672303739913961655
