Nth,Word,Subject Area,Unique Identifier
1,Favartia maculata,,-469571323737337569
2,Species,,4341800344321451645
3,Biology,,8857403695854175394
4,Natural science,,4869065709104364642
5,Science,,-4672303739913961655
6,Knowledge,,3603478596780230405
7,Fact,,-4328447044060676770
8,Proof (truth),,2135449381291655739
9,Necessity and sufficiency,,1730111156656812741
10,Logic,,-2616319139024698409
11,Reason,,3629452740040957490
12,Consciousness,,-1750234886732630810
13,Quality (philosophy),,-6874616529156327437
14,Property (philosophy),,-1235965008286240182
15,Modern philosophy,,-1281486413904626369
16,Philosophy,,-4426096117890198997
17,Reality,,6838181675192320399
18,Existence,,-3377596666978782727
19,World,,-4569653633827386823
20,Human,,2914993515490738934
21,Hominini,,-3609484609459671747
22,Tribe (biology),,-6431122079361772723
23,Biology,,8857403695854175394
,,,
3,Biology,,8857403695854175394
