Nth,Word,Subject Area,Unique Identifier
1,Harpalus contemptus,,-3613512545951060395
2,Ground beetle,,2108538637365453587
3,Cosmopolitan distribution,,-4132297521828087673
4,Biogeography,,-7044039457305286176
5,Species,,4341800344321451645
6,Biology,,8857403695854175394
7,Natural science,,4869065709104364642
8,Science,,-4672303739913961655
9,Knowledge,,3603478596780230405
10,Fact,,-4328447044060676770
11,Proof (truth),,2135449381291655739
12,Necessity and sufficiency,,1730111156656812741
13,Logic,,-2616319139024698409
14,Reason,,3629452740040957490
15,Consciousness,,-1750234886732630810
16,Quality (philosophy),,-6874616529156327437
17,Property (philosophy),,-1235965008286240182
18,Modern philosophy,,-1281486413904626369
19,Philosophy,,-4426096117890198997
20,Reality,,6838181675192320399
21,Existence,,-3377596666978782727
22,World,,-4569653633827386823
23,Human,,2914993515490738934
24,Hominini,,-3609484609459671747
25,Tribe (biology),,-6431122079361772723
26,Biology,,8857403695854175394
,,,
6,Biology,,8857403695854175394
