Nth,Word,Subject Area,Unique Identifier
1,"Jarrahi, Sabzevar",,-3861276168864451524
2,Kuh Hamayi Rural District,,-552823879171182856
3,Administrative divisions of Iran,,-7798413869454451281
4,Administrative division,,-1233102718086916152
5,Country,,-4714479559383765047
6,Political geography,,-6491172518388408936
7,Human geography,,-1113712412312015698
8,Geography,,-5843191956471717889
9,Earth,,9107281603853286393
10,Planet,,11753042235015888
11,Astronomical object,,-1899379884037624060
12,Entity,,3560120390393139311
13,Abstraction,,3817859024266749347
14,First principle,,-7760368032647124475
15,Axiom,,-6361599741985276387
16,Self-evidence,,-8977066399249063487
17,Epistemology,,5285203681127569025
18,Philosophy,,-4426096117890198997
19,Reality,,6838181675192320399
20,Existence,,-3377596666978782727
21,World,,-4569653633827386823
22,Human,,2914993515490738934
23,Hominini,,-3609484609459671747
24,Tribe (biology),,-6431122079361772723
25,Biology,,8857403695854175394
26,Natural science,,4869065709104364642
27,Science,,-4672303739913961655
28,Knowledge,,3603478596780230405
29,Fact,,-4328447044060676770
30,Proof (truth),,2135449381291655739
31,Necessity and sufficiency,,1730111156656812741
32,Logic,,-2616319139024698409
33,Reason,,3629452740040957490
34,Consciousness,,-1750234886732630810
35,Quality (philosophy),,-6874616529156327437
36,Property (philosophy),,-1235965008286240182
37,Modern philosophy,,-1281486413904626369
38,Philosophy,,-4426096117890198997
,,,
18,Philosophy,,-4426096117890198997
