Nth,Word,Subject Area,Unique Identifier
1,Jimmy Makulis,,6931716135684313157
2,Greece,,-19053863395190281
3,Southern Europe,,-3170407304741139315
4,Policy,,-8996305001275254376
5,Executive order,,-1611228797971265199
6,President of the United States,,4060301078470401661
7,Head of state,,-394865124501822961
8,Sovereign state,,8910180831460953964
9,Centralized government,,-7346783964324730612
10,Power (social and political),,-1411171618796460419
11,Social science,,-4992383039364392347
12,Discipline (academia),,-3524377838262149241
13,Knowledge,,3603478596780230405
14,Fact,,-4328447044060676770
15,Proof (truth),,2135449381291655739
16,Necessity and sufficiency,,1730111156656812741
17,Logic,,-2616319139024698409
18,Reason,,3629452740040957490
19,Consciousness,,-1750234886732630810
20,Quality (philosophy),,-6874616529156327437
21,Property (philosophy),,-1235965008286240182
22,Modern philosophy,,-1281486413904626369
23,Philosophy,,-4426096117890198997
24,Reality,,6838181675192320399
25,Existence,,-3377596666978782727
26,World,,-4569653633827386823
27,Human,,2914993515490738934
28,Hominini,,-3609484609459671747
29,Tribe (biology),,-6431122079361772723
30,Biology,,8857403695854175394
31,Natural science,,4869065709104364642
32,Science,,-4672303739913961655
33,Knowledge,,3603478596780230405
,,,
13,Knowledge,,3603478596780230405
