Nth,Word,Subject Area,Unique Identifier
1,Neutron scattering,,3263822578702368915
2,Neutron,,-908771063898001506
3,Subatomic particle,,-6418066158158061781
4,Physics,,-3621122015790428708
5,Natural science,,4869065709104364642
6,Science,,-4672303739913961655
7,Knowledge,,3603478596780230405
8,Fact,,-4328447044060676770
9,Proof (truth),,2135449381291655739
10,Necessity and sufficiency,,1730111156656812741
11,Logic,,-2616319139024698409
12,Reason,,3629452740040957490
13,Consciousness,,-1750234886732630810
14,Quality (philosophy),,-6874616529156327437
15,Property (philosophy),,-1235965008286240182
16,Modern philosophy,,-1281486413904626369
17,Philosophy,,-4426096117890198997
18,Reality,,6838181675192320399
19,Existence,,-3377596666978782727
20,World,,-4569653633827386823
21,Human,,2914993515490738934
22,Hominini,,-3609484609459671747
23,Tribe (biology),,-6431122079361772723
24,Biology,,8857403695854175394
25,Natural science,,4869065709104364642
,,,
5,Natural science,,4869065709104364642
