Nth,Word,Subject Area,Unique Identifier
1,"Ray, Indiana and Michigan",,-1367706057257201864
2,Unincorporated area,,-5712075335205041239
3,Law,,6653501418083561403
4,System,,-3674524459856591219
5,Element (mathematics),,-6695868048806592534
6,Mathematics,,-2665969919990632551
7,Quantity,,-240467785535016609
8,Property (philosophy),,-1235965008286240182
9,Modern philosophy,,-1281486413904626369
10,Philosophy,,-4426096117890198997
11,Reality,,6838181675192320399
12,Existence,,-3377596666978782727
13,World,,-4569653633827386823
14,Human,,2914993515490738934
15,Hominini,,-3609484609459671747
16,Tribe (biology),,-6431122079361772723
17,Biology,,8857403695854175394
18,Natural science,,4869065709104364642
19,Science,,-4672303739913961655
20,Knowledge,,3603478596780230405
21,Fact,,-4328447044060676770
22,Proof (truth),,2135449381291655739
23,Necessity and sufficiency,,1730111156656812741
24,Logic,,-2616319139024698409
25,Reason,,3629452740040957490
26,Consciousness,,-1750234886732630810
27,Quality (philosophy),,-6874616529156327437
28,Property (philosophy),,-1235965008286240182
,,,
8,Property (philosophy),,-1235965008286240182
