Nth,Word,Subject Area,Unique Identifier
1,"Ross Corner, New Jersey",,-3906117071624979545
2,Census-designated place,,8719070885703742634
3,Place (United States Census Bureau),,-8886084202401699413
4,United States Census Bureau,,-3116172643795719677
5,Federal Statistical System of the United States,,-2772953560106916233
6,Federal government of the United States,,-5604477296868529388
7,Federation,,-3348838827156885083
8,Political union,,-3548190667440960133
9,State (polity),,4762968986837602439
10,Community,,6288577188102838766
11,Level of analysis,,8947544126860737116
12,Unit of observation,,188709381525173880
13,Statistics,,8363989272166152835
14,Data,,5809168768645327676
15,Value (computer science),,-8445984298510564737
16,Computer science,,-4008902978115557867
17,Science,,-4672303739913961655
18,Knowledge,,3603478596780230405
19,Fact,,-4328447044060676770
20,Proof (truth),,2135449381291655739
21,Necessity and sufficiency,,1730111156656812741
22,Logic,,-2616319139024698409
23,Reason,,3629452740040957490
24,Consciousness,,-1750234886732630810
25,Quality (philosophy),,-6874616529156327437
26,Property (philosophy),,-1235965008286240182
27,Modern philosophy,,-1281486413904626369
28,Philosophy,,-4426096117890198997
29,Reality,,6838181675192320399
30,Existence,,-3377596666978782727
31,World,,-4569653633827386823
32,Human,,2914993515490738934
33,Hominini,,-3609484609459671747
34,Tribe (biology),,-6431122079361772723
35,Biology,,8857403695854175394
36,Natural science,,4869065709104364642
37,Science,,-4672303739913961655
,,,
17,Science,,-4672303739913961655
