Nth,Word,Subject Area,Unique Identifier
1,Susanne Kessler,,1155263565259585277
2,Germans,,-909540287174970434
3,Germanic peoples,,2197090545739041562
4,Proto-Indo-Europeans,,4324725875446084440
5,Proto-Indo-European language,,-4535537886378626003
6,Linguistic reconstruction,,8779514615705234388
7,Attested language,,-3353789370583697925
8,Linguistics,,-8743855718243593471
9,Science,,-4672303739913961655
10,Knowledge,,3603478596780230405
11,Fact,,-4328447044060676770
12,Proof (truth),,2135449381291655739
13,Necessity and sufficiency,,1730111156656812741
14,Logic,,-2616319139024698409
15,Reason,,3629452740040957490
16,Consciousness,,-1750234886732630810
17,Quality (philosophy),,-6874616529156327437
18,Property (philosophy),,-1235965008286240182
19,Modern philosophy,,-1281486413904626369
20,Philosophy,,-4426096117890198997
21,Reality,,6838181675192320399
22,Existence,,-3377596666978782727
23,World,,-4569653633827386823
24,Human,,2914993515490738934
25,Hominini,,-3609484609459671747
26,Tribe (biology),,-6431122079361772723
27,Biology,,8857403695854175394
28,Natural science,,4869065709104364642
29,Science,,-4672303739913961655
,,,
9,Science,,-4672303739913961655
