Nth,Word,Subject Area,Unique Identifier
1,The Book of Knots,,-506453213202993625
2,Carla Kihlstedt,,2270431993221769022
3,United States,,-5387773725533596976
4,Federal republic,,-3895061081829891699
5,Federation,,-3348838827156885083
6,Political union,,-3548190667440960133
7,State (polity),,4762968986837602439
8,Community,,6288577188102838766
9,Level of analysis,,8947544126860737116
10,Unit of observation,,188709381525173880
11,Statistics,,8363989272166152835
12,Data,,5809168768645327676
13,Value (computer science),,-8445984298510564737
14,Computer science,,-4008902978115557867
15,Science,,-4672303739913961655
16,Knowledge,,3603478596780230405
17,Fact,,-4328447044060676770
18,Proof (truth),,2135449381291655739
19,Necessity and sufficiency,,1730111156656812741
20,Logic,,-2616319139024698409
21,Reason,,3629452740040957490
22,Consciousness,,-1750234886732630810
23,Quality (philosophy),,-6874616529156327437
24,Property (philosophy),,-1235965008286240182
25,Modern philosophy,,-1281486413904626369
26,Philosophy,,-4426096117890198997
27,Reality,,6838181675192320399
28,Existence,,-3377596666978782727
29,World,,-4569653633827386823
30,Human,,2914993515490738934
31,Hominini,,-3609484609459671747
32,Tribe (biology),,-6431122079361772723
33,Biology,,8857403695854175394
34,Natural science,,4869065709104364642
35,Science,,-4672303739913961655
,,,
15,Science,,-4672303739913961655
