Nth,Word,Subject Area,Unique Identifier
1,Title 25 of the Code of Federal Regulations,,8514191552169705700
2,Code of Federal Regulations,,-1218661280839617127
3,Federal government of the United States,,-5604477296868529388
4,Federation,,-3348838827156885083
5,Political union,,-3548190667440960133
6,State (polity),,4762968986837602439
7,Community,,6288577188102838766
8,Level of analysis,,8947544126860737116
9,Unit of observation,,188709381525173880
10,Statistics,,8363989272166152835
11,Data,,5809168768645327676
12,Value (computer science),,-8445984298510564737
13,Computer science,,-4008902978115557867
14,Science,,-4672303739913961655
15,Knowledge,,3603478596780230405
16,Fact,,-4328447044060676770
17,Proof (truth),,2135449381291655739
18,Necessity and sufficiency,,1730111156656812741
19,Logic,,-2616319139024698409
20,Reason,,3629452740040957490
21,Consciousness,,-1750234886732630810
22,Quality (philosophy),,-6874616529156327437
23,Property (philosophy),,-1235965008286240182
24,Modern philosophy,,-1281486413904626369
25,Philosophy,,-4426096117890198997
26,Reality,,6838181675192320399
27,Existence,,-3377596666978782727
28,World,,-4569653633827386823
29,Human,,2914993515490738934
30,Hominini,,-3609484609459671747
31,Tribe (biology),,-6431122079361772723
32,Biology,,8857403695854175394
33,Natural science,,4869065709104364642
34,Science,,-4672303739913961655
,,,
14,Science,,-4672303739913961655
