Nth,Word,Subject Area,Unique Identifier
1,Too Hot to Handle (1977 film),,-1057089829541463382
2,1977 in film,,4545107154201585313
3,49th Academy Awards,,-2548987666254542176
4,Dorothy Chandler Pavilion,,-279289875766491851
5,Los Angeles Music Center,,-4475423872132463217
6,Los Angeles,,2749089481589103798
7,List of cities and towns in California,,7982232160062873415
8,California,,-57412083868814028
9,U.S. state,,-5785526874451186949
10,United States,,-5387773725533596976
11,Federal republic,,-3895061081829891699
12,Federation,,-3348838827156885083
13,Political union,,-3548190667440960133
14,State (polity),,4762968986837602439
15,Community,,6288577188102838766
16,Level of analysis,,8947544126860737116
17,Unit of observation,,188709381525173880
18,Statistics,,8363989272166152835
19,Data,,5809168768645327676
20,Value (computer science),,-8445984298510564737
21,Computer science,,-4008902978115557867
22,Science,,-4672303739913961655
23,Knowledge,,3603478596780230405
24,Fact,,-4328447044060676770
25,Proof (truth),,2135449381291655739
26,Necessity and sufficiency,,1730111156656812741
27,Logic,,-2616319139024698409
28,Reason,,3629452740040957490
29,Consciousness,,-1750234886732630810
30,Quality (philosophy),,-6874616529156327437
31,Property (philosophy),,-1235965008286240182
32,Modern philosophy,,-1281486413904626369
33,Philosophy,,-4426096117890198997
34,Reality,,6838181675192320399
35,Existence,,-3377596666978782727
36,World,,-4569653633827386823
37,Human,,2914993515490738934
38,Hominini,,-3609484609459671747
39,Tribe (biology),,-6431122079361772723
40,Biology,,8857403695854175394
41,Natural science,,4869065709104364642
42,Science,,-4672303739913961655
,,,
22,Science,,-4672303739913961655
