Nth|Word|URL
0|Personal seat license|http://wikipedia.org/wiki/PSLS
1|North America|http://wikipedia.org/wiki/North_America
2|Continent|http://wikipedia.org/wiki/Continent
3|Land|http://wikipedia.org/wiki/Landmass
4|Earth|http://wikipedia.org/wiki/Earth
5|Planet|http://wikipedia.org/wiki/Planet
6|Ancient Greek|http://wikipedia.org/wiki/Ancient_Greek_language
7|Greek language|http://wikipedia.org/wiki/Greek_language
8|Modern Greek|http://wikipedia.org/wiki/Modern_Greek
9|Greek language|http://wikipedia.org/wiki/Greek_language
